user,created_at,version,body,score,positive,negative,sum
1475305,2023/2/16,v3.3.2,late LGTM,"1,-1    ",1,-1,0
1475305,2023/2/16,v3.3.2,"Let me close this one, thanks @hvanhovell @zhenlineo ","1,-1    ",1,-1,0
1475305,2023/2/16,v3.3.2,Thanks @wangyum @dongjoon-hyun ,"1,-2    ",1,-2,-1
1475305,2023/2/17,v3.3.2,"https://github.com/apache/spark/blob/7ee8a32077b09cb847b6ac41cdc5067cf7bd83e9/connector/connect/client/jvm/src/test/scala/org/apache/spark/sql/connect/client/util/RemoteSparkSession.scala#L155-L159

should we remove this `try catch`? This may cover up some problems, but this may be another pr

","1,-1    ",1,-1,0
1475305,2023/2/17,v3.3.2,"> According to your comment, is it okay for me to merge, @LuciferYang ?

ok to merge ~","1,-1    ",1,-1,0
1475305,2023/2/17,v3.3.2,cc @wangyum @srowen FYI,"1,-1    ",1,-1,0
1475305,2023/2/17,v3.3.2,"> Could you test against hadoop-2?

Do same check with -Phadoop-2

**Maven** 

```
build/mvn clean
build/mvn clean install -DskipTestes -pl resource-managers/yarn -am -Pyarn -Phadoop-2
build/mvn -Dtest=none -DwildcardSuites=org.apache.spark.deploy.yarn.YarnClusterSuite -pl resource-managers/yarn test -Pyarn -Phadoop-2
build/mvn test -pl resource-managers/yarn -Pyarn -Dtest.exclude.tags=org.apache.spark.tags.ExtendedLevelDBTest  -Phadoop-2
```

**SBT**

```
build/sbt clean yarn/test -Pyarn -Dtest.exclude.tags=org.apache.spark.tags.ExtendedLevelDBTest -Phadoop-2
```


All tests passed.

","1,-1    ",1,-1,0
1475305,2023/2/17,v3.3.2,Thanks @huaxingao @dongjoon-hyun ,"1,-1    ",1,-1,0
1475305,2023/2/19,v3.3.2,late LGTM,"1,-1    ",1,-1,0
1475305,2023/2/20,v3.3.2,cc @dongjoon-hyun ,"1,-1    ",1,-1,0
1475305,2023/2/20,v3.3.2,"I make another one build with maven 3.8.7 + cyclonedx-maven-plugin  2.7.4 https://github.com/LuciferYang/spark/actions/runs/4205904014/jobs/7298678641

<img width=""1074"" alt=""image"" src=""https://user-images.githubusercontent.com/1475305/219719321-dc1e6aa3-1a21-4e93-92ce-60cee921493b.png"">
","1,-1    ",1,-1,0
1475305,2023/2/20,v3.3.2,"Yes, we use CycloneDX 2.7.3. So I should not explain that 2.7.4 has such issue in the pr description, because it does not affect Spark now, am I right?","1,-1    ",1,-1,0
