# -*- coding: utf-8 -*-
id,user,created_at,version,body,score,positive,negative,0
1428890417,6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
1430794230,1097932,2023/2/14,v3.3.2,Merging to master/3.4,"1,-1    ",1,-1,0
1429074678,6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
1429368248,7322292,2023/2/14,v3.3.2,merged into master/3.4,"1,-1    ",1,-1,0
1429283022,6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
1430262898,1097932,2023/2/14,v3.3.2,Merging to master/3.4,"1,-1    ",1,-1,0
1429264303,7322292,2023/2/14,v3.3.2,merged into master/3.4.  Thank you @ulysses-you ,"1,-1    ",1,-1,0
1429234279,7322292,2023/2/14,v3.3.2,cc @HyukjinKwon @ueshin ,"2,-1    ",2,-1,1
1429261134,7322292,2023/2/14,v3.3.2,close this one in favor of https://github.com/apache/spark/pull/40006,"1,-1    ",1,-1,0
1429707666,6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"2,-1    ",2,-1,1
1430025642,1938382,2023/2/14,v3.3.2,late LGTM,"1,-1    ",1,-1,0
1429346503,16032294,2023/2/14,v3.3.2,cc @JoshRosen  @liuzqt  ,"1,-1    ",1,-1,0
1563656660,41898282,2023/2/14,v3.3.2,"We're closing this PR because it hasn't been updated in a while. This isn't a judgement on the merit of the PR in any way. It's just a way of keeping the PR queue manageable.
If you'd like to revive this PR, please reopen it and ask a committer to remove the Stale tag!","1,-1    ",1,-1,0
1429709353,6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"2,-1    ",2,-1,1
1429328683,502522,2023/2/14,v3.3.2,"@HeartSaVioR , @HyukjinKwon , @SandishKumarHN PTAL. I would like to get this fix asap to make it into 3.4.x in OSS and 12.2 RC cut in DBR. ","3,-1    ",3,-1,2
1429341925,502522,2023/2/14,v3.3.2,cc: @gengliangwang ,"1,-1    ",1,-1,0
1430514890,1097932,2023/2/14,v3.3.2,"Thanks, merging to master/3.4","2,-1    ",2,-1,1
1429707086,6477701,2023/2/14,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
1429607135,7322292,2023/2/14,v3.3.2,"`DataFrame.drop` in PySpark seems problematic when there are duplicated column names, let me address it first.","1,-1    ",1,-1,0
1436042026,9616802,2023/2/14,v3.3.2,@zhengruifeng what is the current problem with drop?,"1,-1    ",1,-1,0
1436177852,7322292,2023/2/14,v3.3.2,"> @zhengruifeng what is the current problem with drop?

existing implement in Python Client follows the behavior in PySpark that always convert column name to column, then it has this problem https://issues.apache.org/jira/browse/SPARK-42444
 ","1,-2    ",1,-2,-1
1442776708,7322292,2023/2/14,v3.3.2,cc @hvanhovell @HyukjinKwon @xinrong-meng @amaliujia ,"1,-2    ",1,-2,-1
1445910983,7322292,2023/2/15,v3.3.2,cc @HyukjinKwon @xinrong-meng would you mind taking a look at this one?,"1,-2    ",1,-2,-1
1447516956,7322292,2023/2/15,v3.3.2,merged into master/3.4,"1,-1    ",1,-1,0
1429908839,7253827,2023/2/15,v3.3.2,"cc @srowen, @dongjoon-hyun, @gengliangwang, @wangyum ","1,-2    ",1,-2,-1
1430664412,6477701,2023/2/15,v3.3.2,cc @gengliangwang FYI,"1,-1    ",1,-1,0
1430968381,1097932,2023/2/15,v3.3.2,"I did a quick test and the UI looks ok. Also I tried git grep and all the old version `1.10.25` is gone.
@peter-toth Thanks for the work. Merging to master. ","1,-1    ",1,-1,0
1430969480,7253827,2023/2/15,v3.3.2,"> LGTM if the UI works

I played a bit with the UI while making this PR and it looked ok to me.

Actually, I'm not sure that anything from our customizations in `core/src/main/resources/org/apache/spark/ui/static/webui-dataTables.css` is still needed after this version update, but I removed only the up/dpwn arrows related part that caused issues...
E.g. the executor ""show ... entries"" box (https://github.com/apache/spark/pull/36226#issuecomment-1100810575) looked ok without this last fix: https://github.com/apache/spark/pull/36226/files#diff-e96c8dc10974b7da0c5dd4f675702462124b66c4bf2f7a0682f2ec1482a2eee3","1,-1    ",1,-1,0
1430973181,7253827,2023/2/15,v3.3.2,"> I did a quick test and the UI looks ok. Also I tried git grep and all the old version `1.10.25` is gone. @peter-toth Thanks for the work. Merging to master.

Thanks everyone for the review!","1,-1    ",1,-1,0
1431992781,1938382,2023/2/15,v3.3.2,cc @zhengruifeng IIRC there were some open questions to support storage level in Connect?,"1,-1    ",1,-1,0
1435639551,11574708,2023/2/15,v3.3.2,@HyukjinKwon can you please check if it looks Ok?,"1,-1    ",1,-1,0
1438674170,11574708,2023/2/15,v3.3.2,"@HyukjinKwon @amaliujia can you please review? 
If you think implementation of StorageLevel is not right I will close and can open a new one for the param only (when there's alternative implementation is available). The problem is you cant just add something to PySpark without touching Connect. I guess it's intentional.","1,-1    ",1,-1,0
1441644663,11574708,2023/2/15,v3.3.2,Closing as no traction ,"1,-1    ",1,-1,0
1442772377,6477701,2023/2/15,v3.3.2,Sorry for late responses. We should better have this feature parity. But I need to check w/ the concern about storage level (raised internally). I will ping the guy to comment here.,"1,-1    ",1,-1,0
1444167507,11574708,2023/2/15,v3.3.2,Thanks @HyukjinKwon ,"1,-1    ",1,-1,0
1494921787,506656,2023/2/15,v3.3.2,"Hi @khalidmammadov, now that `Catalog` in Scala client including protobuf definition has been implemented at #40438, do you want to continue working on this?
Otherwise, I can take this over.
Thanks.","1,-1    ",1,-1,0
1495403951,11574708,2023/2/15,v3.3.2,"Hi, thanks for letting me know. I will look at it

On Mon, 3 Apr 2023, 21:15 Takuya UESHIN, ***@***.***> wrote:

> Hi @khalidmammadov <https://github.com/khalidmammadov>, now that Catalog
> in Scala client including protobuf definition has been implemented, do you
> want to continue working on this?
> Otherwise, I can take this over.
> Thanks.
>
> �?> Reply to this email directly, view it on GitHub
> <https://github.com/apache/spark/pull/40015#issuecomment-1494921787>, or
> unsubscribe
> <https://github.com/notifications/unsubscribe-auth/ACYJ3NHUQOOWBY4SFT7D3XDW7MVVDANCNFSM6AAAAAAU3TDHCU>
> .
> You are receiving this because you were mentioned.Message ID:
> ***@***.***>
>
","1,-1    ",1,-1,0
1501103732,11574708,2023/2/15,v3.3.2,"The build was failing due to https://github.com/apache/spark/pull/40674 and now fixed by https://github.com/apache/spark/pull/40681

Rebased.","1,-2    ",1,-2,-1
1505864295,506656,2023/2/15,v3.3.2,Thanks! merging to master.,"1,-1    ",1,-1,0
1505902017,11574708,2023/2/15,v3.3.2,Thanks @ueshin!,"1,-1    ",1,-1,0
1429912568,7253827,2023/2/15,v3.3.2,cc @cloud-fan ,"1,-1    ",1,-1,0
1431326036,3182036,2023/2/15,v3.3.2,"thanks, merging to master/3.4! (`multiTransform` is a to-be-released developer API)","3,-1    ",3,-1,2
1431362488,7253827,2023/2/15,v3.3.2,Thanks @cloud-fan for the review!,"2,-1    ",2,-1,1
1432886862,18014953,2023/2/15,v3.3.2,Maybe @gengliangwang ?,"2,-1    ",2,-1,1
1430123971,9616802,2023/2/15,v3.3.2,cc @zhenlineo ,"2,-1    ",2,-1,1
1430127246,9616802,2023/2/15,v3.3.2,For the reviewers. This is a mostly mechanical PR; the size is large but the complexity is low. All implemented documentation and function signatures were copies from Dataset. ,"1,-2    ",1,-2,-1
1431494777,9616802,2023/2/15,v3.3.2,merging this!,"1,-1    ",1,-1,0
1430570256,6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-2    ",1,-2,-1
1430570875,6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"2,-1    ",2,-1,1
1430529818,1097932,2023/2/15,v3.3.2,Sorry about getting back and forth about the schema inference. I am trying to tell a good story about the timestamp without time zone. This should be the final version before 3.4.0 release. ,"1,-1    ",1,-1,0
1431233094,6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
1430567928,1938382,2023/2/15,v3.3.2,@cloud-fan ,"2,-1    ",2,-1,1
1430571854,6477701,2023/2/15,v3.3.2,Let's do this kind of cleaning when we touch the codes around here next time.,"2,-1    ",2,-1,1
1430572295,6477701,2023/2/15,v3.3.2,Merged to master.,"1,-1    ",1,-1,0
1432285477,6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
1430678447,9616802,2023/2/15,v3.3.2,@zhenlineo can you make the PR description a bit more descriptive?,"1,-1    ",1,-1,0
1430678848,9616802,2023/2/15,v3.3.2,Oh and can you add the ticket to the title?,"1,-1    ",1,-1,0
1432056014,1938382,2023/2/15,v3.3.2,So it is ok to not have e2e tests for read API (similarly for the write side)?,"1,-1    ",1,-1,0
1432517546,1938382,2023/2/15,v3.3.2,"LGTM

Looks like you only need `./build/mvn -Pscala-2.12 scalafmt:format -Dscalafmt.skip=false -Dscalafmt.validateOnly=false -Dscalafmt.changedOnly=false -pl connector/connect/common -pl connector/connect/server -pl connector/connect/client/jvm` to fix the style.","1,-1    ",1,-1,0
1431231926,6477701,2023/2/15,v3.3.2,Merged to master and branch-3.4.,"1,-1    ",1,-1,0
